year,month,day,title,director,cast,genre,href,gross(RM),Budget(Rm)
2013,5,9,99 Kali Rindu,Azhari Mohd Zain,"Aeril Zafrel, Wawa Zainal, Adey Syafrien, Fizo Omar, Diana Amir, Siti Aziz",Drama / Romance,MIG Pictures,,
2013,5,16,O.M.K (Oh Mak Kau!),Nurul Ain Nordin,"Shuib Sepahtu, Jep Sepahtu, Nurul Ain Nordin, Syamsul Yusof, Didie Alias, Wan Maimunah, Yassin Yahya",Action / Comedy,[25],,
2013,5,23,Olli,P. Rameesh,"Pushpa Narayan, Shashi Tharan",Action / Science-Fiction,Star Scope Production,[26],
2013,5,23,Bikers Kental,Helmi Yusof,"Zizan Razak, Awie, Zul Ariffin, Bront Palarae, Amerul Affendi, Sufian Mohamed, Pornwippa Watcharakaroon, Julangtip Sukkasem, Harun Salim Bachik",Comedy,Astro Shaw,[27],
2013,5,30,KIL,Nik Amir Mustapha,"Redza Minhat, Cristina Suzanne Stockstill",Drama / Romance / Mystery,Tamil-language film,,
2013,5,30,"Bro, Nampak Motor Gua?",Mohd Razif Rashid,"Along Cham, Along Eyzendy, Mon Ryanti, Mamat Khalid, Shah Rempit, Fadzil Zahari",Action / Comedy,,,
2013,6,6,Lari,Ahmad Idham,"Aaron Aziz, Dira Abu Zahar, Erin Malek, Hazama Azmi",Action,Excellent Pictures,[31],
2013,6,13,Pecah,Asrull Hisyam,"Tony Eusoff, Sofi Jikan, Izreen Azminda, Fizz Fairuz",Action / Thriller,Primeworks Studios,[32],
2013,6,20,Tokak,Sabree Fadzil,"Abon, Joey Daud, Faiz Raja Lawak, Airis Yasmin, Kazar",Comedy / Horror,MIG Production,[33],
2013,6,27,1 Lawan Satu,Pierre Andre,"Mikail Andre, Fyza Kadir, Along Eyzendy",Action,,,
2013,7,18,Olipathivu,Elson Tommas,"Vassan, Sivabaalan, Govind Singh, Sasi Kumar, Xavier Lock-up, Devika Raghavakrishnan, Maney Villanz & Samuel Sam",Action / Thriller,Snap Production,[35],
2013,7,25,Misteri Bisikan Pontianak,M. Subash Abdullah,"Ruminah Sidek, Mislina Mustaffa, Zakri, Haqim Omar",Thriller / Mystery,Tamil-language film,,
2013,8,1,Kara King,Namewee,"Namewee, Frankie Gao, Ng Man-Tat",Comedy / Family,Prodigee Media,[37],
2013,8,8,Adnan Sempit 3,Ismail Bob Hasim,"Shaheizy Sam, Intan Ladyana, Along Cham, Yana Samsudin, Angah Raja Lawak",Comedy,Mandarin-language film,,
2013,8,8,Lemak Kampung Santan,Hans Isaac,"Hans Isaac, Neelofa, Harun Salim Bachik, Awie, Khir Rahman, Natasha Hudson",Romance,Tall Order Production,[38],
2013,8,15,Ge Mei Lia,Euho,"William Yap, Mingirl Loh, Edmund Chen, Lynn Lim, Melvin Sia, Joannabelle Li",Comedy,Preceded by Adnan Sempit (2010) and Adnan Sempit 2 (2012),,
2013,8,22,Paku Pontianak,Ismail Bob Hasim,"Pekin Ibrahim, Hidayah Samsudin, Uqasha Senrose, Adibah Yunus, Along Eyzendy, Sidek Hussain, Ruminah Sidek",Horror,[39],,
2013,8,29,KL Zombi,Ming Jin,"Zizan Razak, Siti Saleha, Izara Aishah, Iedil Putra, Zain Hamid, Azhan Rani, Faezah Elai, Usop Wilcha",Action / Comedy / Horror,Asia Tropical Films,[40],
2013,8,29,Tanda Putera,Shuhaimi Baba,"Rusdi Ramli, Zizan Nin, Faezah Elai, Linda Hashim",Action / Drama / Suspense,,,
2013,9,5,Dhusrajanam,M. Suurya,"M. Subash Abdullah, Kalpana Sundraju",Sport / Drama,Genius Parade,[44],
2013,9,5,Psiko: Pencuri Hati,Namron,"Bront Palarae, Sharifah Amani, Sein Ruffedge, Amerul Affendi, Shera Ayob, Julia Ziegler",Action / Drama / Suspense,Filmmecca Studio,,
2013,9,12,Lagenda Budak Hostel,Ismail Bob Hasim,"Along Cham, Along Eyzendy, Angah Raja Lawak, Nora Danish, Atikah Suhaimie, Rahim R2, Pekin Ibrahim, Epy Raja Lawak, Mikail Andre",Drama / Romance,[45],,
2013,9,12,Vikingdom,Yusry Abdul Halim,"Dominic Purcell, Craig Fairbrass, Natassia Malthe, Conan Stevens, Jon Foo",Adventure,KRU International,[46],
2013,9,19,Maraimugam,Sara.R,"Mogan, Krishnapriya",Comedy,[47],,
2013,9,19,Dampak,"Andy Mak, Lai Yuk Long","Aaron Aziz, Farid Kamil, Michael Chin, Intan Ladyana, Juliana Evans, Scha Alyahya",Action,Ops Picture,[49],
2013,9,26,Bencinta,Eyra Rahman,"Farid Kamil, Nora Danish, Uqasha Senrose, Zalif Sidek, Fezrul Khan, Qi Razali",Romance,Boss Pictures,[48],
2013,10,3,"Ghost Ghost, Ghosts!",M. Subash Abdullah,"Renaise, Jackson, Eric Chen, Lenny Ooi, Susan Leong, Alice Yap",Horror,Genius Parade,[51],
2013,10,3,KL Gangster 2,Syamsul Yusof,"Aaron Aziz, Syamsul Yusof, Ady Putra, Zizan Razak, Sofi Jikan, Rosyam Nor",Action,Skop Productions & Grand Brilliance,,
2013,10,10,Longkai,Hashim Rejab,"Faizal Hussein, Erra Fazira, Eddie, Wawa Zainal, Pierre Andre, Niezam Zaidi, Dira Abu Zahar, Zul Handyblack, Along Eyzendy, Mikail Andre",Action / Romance,[52],,
2013,10,17,Hello,A. R. Badul,"Tauke Jambu, Angah Raja Lawak, Along Cham, Fizo Omar, Herman Tino, Acong SweetChild",Comedy / Romance,,,
2013,10,24,Balada Pencinta,Khir Rahman,"Johan As'ari, Siti Saleha, Sein Ruffedge, Iedil Putra, Miera Leyana",Drama / Romance,MIG Pictures,[53],
2013,10,31,Highland Tower,Pierre Andre,"Mikail Andre, Shima Anuar, Adibah Yunus, Eddie",Thriller / Horror,Nusanbakti Corporation,[54],
2013,11,7,Malam.... Penuh Bermisteri,Shasha Omar,"Shasha Omar, Rahim Razali, Azri Iskandar, Bell Ngasri, Acong SweetChild",Thriller / Mystery,SK Movie Makers,[57],
2013,11,14,Aku Pilih Kamu,Eyra Rahman,"Fezrul Khan, Intan Ladyana, Azhan Rani",Drama / Romance,MIG Pictures,[58],
2013,11,14,Firefly,Michael Chuah,"Henry Thia, Bernard Hiew, Lim Ching Miau, Michael Chuah",Action / Comedy / Superhero,Evo Pictures,,
2013,11,21,Kisah Paling Gengster,Brando Lee,"Shaheizy Sam, Epy Raja Lawak, Mikail Andre, Wawa Zainal, Zul Handyblack, Wan Hanafi Su, Fyza Kadir",Action / Drama,,,
2013,11,21,Hantu Tok Mudim,Wan Mohd Hafiz Wan Hussein,"Harun Salim Bachik, Sofi Jikan, Izzue Islam, A. R. Badul, Adrea Abdullah",Comedy / Horror,Showbiz Production,[60],
2013,11,28,Penanggal,Ellie Suriati,"Azri Iskandar, Zul Arifin, Ummi Nazeera, Fasha Sandha",Horror,[61],,
2013,11,28,"Ustaz, Mu Tunggu Aku Datang",Pierre Andre,"Shahrol Shiro, Ajak Shiro, Ustaz Azhar Idrus, Along Eyzendy, Mikail Andre, Zalif Sidek",Drama,Astro ShawGrand Brilliance,[62],
2013,12,5,Ular,Jason Chong,"Lisa Surihani, Yusry Abdul Halim, Izzue Islam",Horror,Showbiz Production,[64],
2013,12,5,Kolumpo,"Sheikh Munasar, Rozi Izma, Bront Palarae","Sharifah Amani, Azad Jasmin, Nell Ng, Ruminah Sidek, Sofi Jikan, Amirul Ariff, Mano Maniam",Drama,Otto Films,,
2013,12,12,Paku,P. Rameesh,"Aishah Ilias, Johan As'ari, Azad Jasmin, Diana Johor, Kamal Adli, Zaidi Omar",Horror,,,
2013,12,12,Papadom 2,Afdlin Shauki,"Afdlin Shauki, Liyana Jasmay, Noorkhiriah, Vanida Imran, Khir Rahman, Riezman Khuzaimi, Scha Alyahya, Chelsia Ng, Hans Isaac, Pete Teo",Comedy,"Tayangan Unggul, Astro Shaw, Ismail Holdings & Vision Works",[66],
2013,12,19,Laki-Laki,Ahmad Rusli Mohamed Khadri,"Angah Raja Lawak, Zul Handyblack, Adey Syafrien, Mie Raja Lawak, Azrel Ismail",Comedy,[67],,
2013,12,19,Cinderella,Ahmad Idham,"Fizo Omar, Nelydia Senrose, Kamal Adli, Fauziah Nawi, Azizah Mahzan, Azlan Komeng, Jalaluddin Hassan",Romance,Excellent Pictures,[68],
2013,12,26,Chikaro,Nizam Zakaria,"Izzue Islam, Adleena Nordin, Liyana Jasmay, Tasha Shilla, Izara Aishah",Comedy,[69],,
2013,12,26,Tokan,Ghaz Abu Bakar,"Johan As'ari, Zizan Razak, Pekin Ibrahim, Sofi Jikan, Wan Hanafi Su, Liyana Jasmay, Wanna Ali",Action / Comedy,Pencil Pictures,[70],
2014,1,2,Vetti Pasanga,Vimala Perumal,"Denes Kumar, Sangeeta Krishnasamy, Magendran Raman, David Anthony, Alvin Martin, Shastan Kurup",Comedy / Drama,Veedu Production,[1],
2014,1,2,Rumah Sewa RM50,M. Jamil,"M. Jamil, Amirulshah Rozali, Raji Simran, Mayumi Kasuga, Yulina, Delimawati",Thriller / Mystery,Galaksi Seni,,
2014,1,9,The Transcend,"Mindee Ong, Teddy Chin, Ryon Lee, James Wong, Cheng Kam Cheong","Mindee Ong Le Le, Teddy Chin",Horror / Romance,Just Work Entertainment,,
2014,1,9,Balistik,Silver Yee,"Rosyam Nor, Jack Lim, Rita Rudaini, Adi Putra, Rykarl Iskandar, Gan Mei Yan",Action / Thriller / Drama,Suhan Movies,[3],
2014,1,16,Muka Surat Cinta,Pierre Andre,"Mikail Andre, Nina Iskandar, Atikah Suhaimie, Hilal Azman, Lan Zailan",Romance,Mandarin-language film,,
2014,1,16,Siddhartha,Lee Guohui,"Lui Leung Wai, Jennifer Tse, Law Kar Ying",Drama / Historical,Sharp Focus Productions,,
2014,1,23,Laga,Ismail Yaacob,"Syazwan Zulkifli, Eman Manan, Tyash Mirashi, Wan Hanafi Su, Marsha Milan Londoh, Yus Jambu",Thriller / Drama / Crime / Action,MIG Pictures,[5],
2014,1,30,The Journey,Chiu Keng Guan,"Ben Andrew Pfeiffer, Lee Sai Peng",Drama / Family,[6],,
2014,1,30,Jangan Pandang Belakang Boleh?,Ismail Bob Hasim,"Zalif Sidek, Adibah Yunus, Epy Kodiang, Shima Anuar, Ruminah Sidek",Horror / Comedy,,,
2014,2,6,Kami Histeria,Shamyl Othman,"Fazura, Diana Danielle, Izzue Islam, Nad Zainal, Sara Ali, Mila Jirin, Afdlin Shauki",Horror / Comedy / Musical,Red Films / Marna Films /Astro Shaw,[11],
2014,2,,Huat Ah! Huat Ah! Huat!,Tan Boon Huat,"Aniu, Joyce Cheng",Comedy / Family,VeryGood Movie / Red Films,,
2014,2,13,Bullets Over Petaling Street,"Sampson Yuen, Ho Shih Phin","Debbie Goh, Chen Han Wei, Irene Ang, Jeffrey Cheng, Steve Yap",Action / Comedy / Crime,,,
2014,2,20,Sejoli: Misi Cantas Cinta,Osman Ali,"Maya Karin, Bront Palarae, Izara Aishah, Remy Ishak",Comedy / Romance,Juita Viden,[13],
2014,2,,Pasar Malam,Bryan Gao,"Victor Wong, Henry Thia, Chris Tong, James Wong",Comedy / Drama,Great Empire Entertainment,,
2014,2,27,Aku Akan Muncul,Roy Krishnan,"Julia Ziegler, Musly Ramli, Jalaluddin Hassan",Drama / Thriller,RM Vision Film Production,[14],
2014,2,,The Beggar Hero,Bryan Gao,"Wayne Lai, Henry Thia, Ah Nam, Karen Kong",Action / Comedy,[15],,
2014,3,6,Vennira Iravuggal,R. Perakas Rajaram,"Vikadakavi, Sangeeta Krishnasamy, Magendran Rahman, Psychomantra @ Krishna Kumar Lechmana, David Anthony, Aruna Raj Devarajoo",Comedy / Romance,Shine Entertainment,[18],
2014,3,6,Hantu Bukit Cina,"T.S. Jeffry, Norliza Ismail","Fouziah Gous, Gambit Saifullah, Siti Fazurina, T.S Jeffry",Horror / Comedy,Sheunik,,
2014,3,13,Fobia Malam Pertama,Murali Abdullah,"Julia Perez, Azad Jasmin, Shafnida Shyuhaimi",Comedy / Romance / Drama,[19],,
2014,3,20,Mokissu,Tai Min Hwee,"Danny Koo, Yumi Wong SK, Lilian Wenwen, Penny Tai",Comedy,Nusantara Seni Karya,[20],
2014,3,20,Zombi Kilang Biskut,Mamat Khalid,"Awie, Eina Azman, Usop Wilcha, Sofi Jikan",Horror / Comedy,Enjit Semut,[21],
2014,3,27,In The Dark,Yeo Joon Han,"Jennifer Poh, Wang Po Chieh, Candy Lee",Thriller / Horror / Drama / Romance,Mandarin-language film,,
2014,3,27,"Lu, Gua Bro!",Ismail Bob Hasim,"Zalif Sidek, Epy Kodiang, Nina Iskandar, Rahim Sepahtu, Hamid Gurkha",Comedy / Drama,,,
2014,4,3,Apokalips X,Mamat Khalid,"Farid Kamil, Jehan Miskin, Peter Davis, Zoee Tan, Vassan, Adam AF, Iqram Dinzly, Pekin Ibrahim, Miera Leyana, Dazrin Kamarudin, Nur Hazwani, XY Zakaria, Zappa Khalid, Amen Khalid, Azwan Kaswi, Dayana Anak Wayang & Pyan Habib",Action / Science Fiction,Astro Shaw / Tayangan Unggul / Naga VXS,[25],
2014,4,17,Pintu Neraka,CKW,"Raffi Khan, Jefri Jefrizal, Sherie Merlis, Bront Palarae, Sahronizam Noor, Namron",Horror / Action,Cahaya Karya Warna,[26],
2014,4,24,Sniper,Pierre Andre,"Pablo Amirul, Mikail Andre, Fadlan Hazim, Nina Iskandar",Action,,,
2014,5,1,Bahaya Cinta,Yusof Kelana,"Adam, Han Dan, Nguyen Duc Hung, Dewi Amanda, Loung Thi Giang, Jalaluddin Hassan",Drama / Romance / Thriller,Sheunik,[28],
2014,5,8,Cara Mengundang Hantu,M. Subash Abdullah,"Ruminah Sidek, Imuda, Mak Jah, Mariani",Horror / Family,Genius Parade,[29],
2014,5,15,Ia Wujud,Dharma Aizat,"Your, Annam, Tommy, Amad, Arif Adam, Zakaria Zahid, Ahmad Syafiq",Horror,Mangkin Prestij,[30],
2014,5,22,Super Stone,Lai Kim Koon,"William Sun, Tung Yew Ngai, Wilson Tin, Brendan Yuen, Candy Lim",Comedy / Crime,Cao Min Pictures,[31],
2014,5,22,Awak Nak Kahwin Dengan Saya?,Eyra Rahman,"Fezrul Khan, Erin Malek, Shima Anuar, Zalif Sidek, Ruminah Sidek",Comedy / Romance,MIG Pictures,,
2014,5,29,The Great Lion: Kun Seng Keng,Matt Lai,"Alan Kuo, Xiaodong Guo, Henley Hii, Zhou Zhou, Katrina Ho, Michael Chin",Action / Drama / Family,[32],,
2014,5,29,Abang Long Fadil,Syafiq Yusof,"Zizan Razak, Kamal Adli, Tauke Raja Lawak, Aaron Aziz, Sofi Jikan, Yassin, Syamsul Yusof",Comedy / Action,,[33],
2014,6,5,Supersquad The Movie,Rashdan Ramlee,"Aaron Aziz, Diana Danielle, Dafi, Radhi Khalid, Marina Tan",Animation / Fiction,Netcarbon,[35],
2014,6,5,Hantu Nan Sempit,Ahmad Idham,"Sofi Jikan, Hazama Azi, Atu Zero, Erin Malek, Jue Aziz, Khir Rahman",Action / Comedy,Excellent Pictures,,
2014,6,12,CEO,Razaisham Rashid,"Remy Ishak, Beto Kusyairy, Cristina Suzanne, Deanna Yusoff, Jalaluddin Hassan",Comedy / Drama,Ara Film,[37],
2014,6,12,Suatu Malam Kubur Berasap 2,Ernie Chen,"Ajak Shiro, Shahrol Shiro, Azad Jasmin, Rahim Sepahtu",Horror / Comedy,Outloud Studios,,
2014,6,19,Pengantin Malam,Eyra Rahman,"Nora Danish, Farid Kamil, Nina Iskandar",Horror,MIG Pictures,[39],
2014,6,19,Goal,K. Guna,"Uthaya, Irfan, THR Visha, Chinni Jayanth, Singamuthu, Nalini, Vaiyapuri, Nazira Ibrahim",Comedy / Romance / Sport / Drama,Malik Streams Corporations,,
2014,6,26,Vivaagarathu,Revathy,"Revathy, Hari Dhass, Aghonderan Sahadevan, Bala Ganapathi William",Drama,,,
2014,7,3,Curse of Spirits,M. Subash Abdullah,"Desmond Chan, Amethyst Leong",Horror / Comedy,Genius Parade,[42],
2014,7,10,Hungry Ghost Ritual,Nick Cheung,"Nick Cheung, Annie Liu, Carrie Ng, Cathryn Lee, Lam Wai",Horror / Family / Mystery,Asia Tropical Films,,
2014,7,28,Mat Tudung,Wan Mohd Hafiz Wan Hussein,"Fizz Fairuz, Nelydia Senrose, Izzue Islam, Harun Salim Bachik, Rosnah Mat Aris",Comedy / Romance,Showbiz Productions,[43],
2014,7,28,Tembus,Ahmad Idham,"Aaron Aziz, Luna Maya, Fazura, Khir Rahman, Eizlan Yusof, Mia Sara Nasuha",Thriller / Crime / Family,,,
2014,8,7,Adnan Sempit Sawadikap,Ismail Bob Hasim,"Shaheizy Sam, Intan Ladyana, Along Raja Lawak, Yana Samsudin",Comedy,MIG Pictures,[46],
2014,8,7,Maindhan,C. Kumaresan,"C. Kumaresan, Shaila Nair, Punnagai Poo Gheetha, Rabbit Mac",Action / Drama / Comedy,Astro Shaw,,
2014,8,14,Kawan Aku Mati Dalam Rumah Sewa,Hashim Rejab,"Fad Bocey, Abam Bocey, Achey Bocey, Epy Raja Lawak, Yassin",Comedy / Horror,Mangkin Prestij,,
2014,8,21,Jin,Pierre Andre,"Zul Ariffin, Mon Ryanti, Harun Salim Bachik",Horror,3Line Media,,
2014,8,28,Mamak Cupcake,Woo Ming Jin,"Shaheizy Sam, Siti Saleha, Azad Jasmin, Faizal Ismail, Maria Farida, Natasha Hudson",Comedy / Drama / Family,,[48],
2014,9,4,Ribbit,Mamat Khalid,"Johan Raja Lawak, Awie, Izzue Islam, Elfira Loy, Aznil Nawawi,Sean Astin,",Adventure / Animation,KRU International,[51],
2014,9,4,The Gathering,Bingo Chang,"Chen Zeyao, Guo Xiaodong, Zhou Zhou, Huang Zhongkun, Fang Jiwei, Zhuhao Ren, Chen Wei Quan, Hank Yip, Zheng Wei Yin",Drama / Family / Romance,Benison Picture,[52],
2014,9,11,Lagenda Budak Setan 3: Kasyah,Sharad Sharan,"Farid Kamil, Lisa Surihani, Maya Karin, Bront Palarae, Ayu Raudhah, Iqram Dinzly",Drama / Romance,,,
2014,9,11,Fantasia,Jason Kok,"Yise Loo, Teddy Chin, Cathryn Lee, Koe Yeet, Billy Ng, Aenie Wong, Jeffrey Cheng, Dennis Lau",Comedy / Fantasy / Romance,Juita Entertainment,,
2014,9,18,Nasi Tangas (Nasi Kangkang),Hashim Rejab,"Adibah Yunus, Azwan Kombos, Shima Anuar, Delimawati, Herman Tino, Along Eyzendy",Thriller / Horror,Astro Shaw,[53],
2014,9,25,Amir & Loqman Pergi ke Laut,Mamat Khalid,"Syuk Balas, Shuib Sepahtu, Sofi Jikan, Zarina Anjoulie, Dewa Sapri, Nadia Mustafar, Rashidi Ishak",Action / Comedy,Preceded by Lagenda Budak Setan (2010) and Lagenda Budak Setan II: Katerina (2012),,
2014,9,25,Three Geniuses,P. K. Rhaj,"Gautham, Ghani, Grace, K. Bhagyaraj, Shashi Tharan, Don Prasna, Aghonderan, Sangeetha Krishnasamy, Jasveer Kaur, Kavitha, Mithiran, Sugumaran, Kreepasree",Action / Comedy / Science fiction,,,
2014,10,2,Dollah Super Star,Kabir Bhatia,"Awie, Sharnaaz Ahmad, Neelofa, Fizz Fairuz, Aziz M. Osman, Lan Pet Pet",Comedy / Action,Filmscape,[58],
2014,10,2,Glorifying Love,Lai Kim Koon,"Emily Chan, Lawrence Wong, Adrian Tan, Josh Lai, Tommy Kuan",Romance,MIG Pictures,,
2014,10,9,Kaithiyin Agarathi,Seenu,"Aghonderan Sahadevan, Gantiban Ben",Action / Drama,,,
2014,10,16,Seventh,Ryon Lee,"Gino Chai, Mindee Ong, Teddy Chin, Kim Thian, Guan Zi Jun, George Ng, Ye Qing Fang, Pearlly Chua, Risa Chong, Mayjune, Ernest Chong",Thriller / Horror,Anjana Film Productions,[60],
2014,10,16,Mistik Syirik Tahyul,M. Subash Abdullah,"Mak Jah, Sura Sojangi, Kalpana Sundraju, Naqia Nasution",Horror / Comedy / Drama,Genius Parade,,
2014,10,23,Dendam Orang Mati,Jason Chong,"Lisa Surihani, Fizz Fairuz, Miera Leyana",Thriller / Horror,SKT Studios,[61],
2014,10,23,Phuyal 18,M. Subash Abdullah,"M. Suurya, Prakash Gobal, Sivabaalan, Arivanath, Sivabalan, Sashi Teran ST, Bala Ganapathi William",Horror / Comedy / Drama / Action / Thriller,Genius Parade,,
2014,10,30,Anak Jantan,Faizal A. Rashid,"Farid Kamil, Bront Palarae, Nora Danish, Rahim Razali",Action / Drama,[62],,
2014,10,30,The Cage,"Felix Tan, Kethsvin Chee","Yeo Yann Yann, Henley Hii, William San, Coby Chong, Adrian Tan, Berg Lee, Wayne Chai, Ernest Zhang, Kyo Chong, Lim Mei Fen, Freddie Wong",Action / Adventure / Thriller / Horror / Crime / Mystery,,[63],
2014,11,6,Kelibat,Hashim Rejab,"Fadlan Hazim, Atikah Suhaimie, Niezam Zaidi, Ellie Suriaty, Fauzi Nawawi",Horror,MIG Pictures,[67],
2014,11,13,MTB: Misi Tawan Baby,Adam Hamdi,"Kamal Adli, Erin Malek, Cat Farish, Zulin Aziz, Fido Adhross, Zarina Zainoordin",Comedy / Romance,SPS Jaya,[68],
2014,11,13,Victory,P. Rameesh,"Sasitharan, Kavitha Thiagarajan, Ben G, Ghana, Adam Corrie, Zack Taipan, G. Yamini, Jamaliah Jamaludin, Shaharudin Jamaludin, Mohd Hatta Mahmud, Lee Wen Yuen, C. Maalani, G. Theeban, Gana Pragasam",Action / Sport / Drama,Rivala Production,,
2014,11,20,Kaki Kitai,Azaromi Ghozali,"Shaheizy Sam, Fezrul Khan, Farid Kamil, Emily Chan, Adam Corrie, Along Eyzendy",Action / Comedy,,,
2014,11,20,Behind the Scene,Bryan Gao,"James Wong, Henry Thia, Wang Rou Lin, Chen Jun Jun",Horror,Just Work Entertainment,[70],
2014,11,27,Mana Mau Lari,Abdul Razak Mohaideen,"Saiful Apek, Tauke Raja Lawak, Shuk Balas, Yassin, Ropie, Dira Abu Bakar",Adventure / Comedy,[71],,
2014,11,27,Lelaki Harapan Dunia,Liew Seng Tat,"Wan Hanafi Su, Harun Salim Bachik, Sofi Jikan, Jalil Hamid, Azhan Rani",Comedy / Drama,,,
2014,12,4,Rentap,Simon Long,"Zahiril Adzim, Syafie Naswip, Elfira Loy",Action / Comedy / Drama,Double Vision,[74],
2014,12,4,Gila Baby,Kabir Bhatia,"Beto Kusyairy, Nadiya Nisaa, Fimie Don, Sharnaaz Ahmad, Adlin Aman Ramlie, Jalil Hamid, Lan Pet Pet",Action / Comedy / Romance,Primeworks Studios,,
2014,12,11,3 Brothers,Silver Yee,"Jack Lim, Alvin Chong, Jusztin, Jeff, Gan Mei Yan, Yumi Wong SK",Comedy,The Film Engine,[76],
2014,12,11,Manisnya Cinta di Cappadocia,Bernard Chauly,"Fazura, Shaheizy Sam, Faizal Hussein, Rafidah Abdullah, Lisa Surihani, Fauziah Ahmad Daud, Eja",Comedy / Romance / Drama / Family,Astro Shaw / Global Station / Red Films,,
2014,12,18,Kasut Ku Kusut,Pierre Andre,"Shaheizy Sam, Pablo Amirul, Atikah Suhaimie, Along Eyzendy",Comedy,[77],,
2014,12,18,Ophilia,Raja Mukhriz Raja Ahmad Kamaruddin,"Pekin Ibrahim, Que Haidar, Kodi Rasheed",Action / Drama,SPS Jaya,[78],
2014,12,25,Cerita Hantu Malaysia,Pierre Andre,"Kamal Adli, Leez Rosli, Kamarul Yusoff, Wan Ellyas, Mikail Andre",Horror,[79],,
2014,12,25,Terbaik dari Langit,Nik Amir Mustapha,"Bront Palarae, Iedil Putra, Amerul Affendi, Megat Sharizal, Nadiya Nisaa, Sharifah Amani, Siti Saleha",Adventure / Comedy / Drama,,,
2015,1,1,Rumah Pusaka Di Simpang Jalan,Mamat Khalid,"Pekin Ibrahim, Bell Ngasri, Jihan Muse, Rab Khalid, Ahmad Maembong, Shuk Balas",Horror / Comedy / Family,Ariabella,[1],
2015,1,1,Pinnokam,Hamen Kumar,"Hamen Kumar, Anu Ramamoorthy, Aghonderan Sahadevan II, Surenderaj Yuvaraj, Murali Raj, Shree, Jessie",Action / Romance,D'Cinema,,
2015,1,8,Romeo Kota: Kes Fail Kriptik,Aaron Aziz,"Aaron Aziz, Nabil Ahmad, Hanis Zalikha, Sofi Jikan, Fizo Omar, Wan Sharmila",Action / Comedy,,,
2015,1,15,Villa Nabila,Syafiq Yusof,"Tisha Shamsir, Pekin Ibrahim, Hisyam Hamid",Horror,Excellent Pictures,[3],
2015,1,22,"Suamiku, Encik Perfect 10!",Feroz Kader,"Aaron Aziz, Lisa Surihani, Syazwan Zulkifli, Raja Ilya, Jasmin Hamid",Comedy / Drama / Family,Skop Productions / Viper Studios,[4],
2015,1,29,Puaka Balai Gombak,Wan Mohd Hafiz Wan Hussein,"Hazwan As'ari, Shukri Mohd Tahir",Horror,Astro Shaw,[5],
2015,2,5,My Mr. Right,Yoko Chou,"Lin Mei-Hsiu, Tou Chung-Hua, Chen Wei-Min, Amber Chia, Wilson Tan",Comedy / Romance,Shining Production,[7],
2015,2,5,Bangunan,Khir Rahman,"Khir Rahman, Aqasha, Sein Qudsi, Amir Musa, Wan Shahidi, Yusran Hashim",Horror,Excellent Pictures,,
2015,2,12,The Dream Boyz,Ryon Lee,"Alvin Chong, Eric Lin, Fuying, Sam, Rayz Lim, Teddy Chin",Comedy / Drama / Romance,[8],,
2015,2,12,Gudang Kubur,Eyra Rahman,"Faizal Hussein, Nora Danish, Atikah Suhaimie, Nizam Zaidi, Epy Kodiang",Horror,Mangkin Prestij,[9],
2015,2,19,My Papa Rich,Ryon Lee,"Wang Lei, Jack Neo, Teddy Chin, Mindee Ong",Comedy,Mandarin-language film,,
2015,2,19,Coverina,Khalid Nadzri,"Pekin Ibrahim, Siti Elizad, Cat Farish",Action,SPS Jaya,,
2015,2,26,Kungfu Taboo,Euho,"Kara Wai, Henry Thia, Frederick Lee, Miau Miau, January So",Comedy,Film Kingdom Group,[11],
2015,2,26,Sunti @ Facebook,James Lee,"Izzue Islam, Fouziah Gous, Lufya Omar, Jenny Cotez, Syazwan Zulkifli, Anas Mentor, Diddy Hirdy, Arief Farhan",Horror,Mandarin-language film,,
2015,3,5,Kepong Gangster 2,Teng Bee,"Henley Hii, Billy Ng, Crystal Lee, Agnes Lim, Danny One, Eric Lin",Action / Crime / Drama,Mahu Pictures,[15],
2015,3,5,Usop Wilcha dalam Werewolf dari Bangladesh,Mamat Khalid,"Zizan Razak, Emma Maembong, Usop Wilcha, Saiful Apek, Rab Khalid",Horror / Action / Comedy,Ariabella,[16],
2015,3,12,Zombies vs The Lucky Exorcist,Jaguar Lim,"Alvin Wong, Lai Meng, Henry Thia, Hidy Yu, Jaguar Lim",Comedy / Drama,Jaguar Lim Films,,
2015,3,12,Cicak Man 3,Yusry Abdul Halim,"Zizan Razak, Lisa Surihani, Fizz Fairuz, Bell Ngasri, Yus Jambu, Adam Corrie",Action / Comedy,KRU Studios,[18],
2015,3,19,Isyarat Cinta,Badaruddin Azmi,"Liyana Jasmay, Adi Putra, Fizo Omar",Romance,,[17],
2015,3,26,Jengka,Aziz M. Osman,"Riezman Khuzaimi, Ramona Zam Zam, Raja Azrey",Horror,Mandarin-language film,,
2015,4,9,Hantu Bungkus Ikat Tepi,Hashim Rejab,"Tauke Jambu, Yus Jambu, Abam Bocey, Nora Danish, Farid Kamil, Zalif Sidek, Pablo Amirul",Horror / Comedy,MIG Pictures,[21],
2015,4,16,Abang Lejen,Azaromi Ghozali,"Farid Kamil, Fadlan Hazim, Intan Ladyana, Adibah Yunus, Hamid Gurkha, Along Eyzendy",Action,Mangkin Prestij,[22],
